recommended_decision,risk_band,applicant_count,average_probability_of_default,total_exposure,average_exposure,total_expected_loss,average_expected_loss
Approve,Low Risk,6087,0.06977914454305888,3851499154.5,632741.7700837852,120558941.16119249,19805.970290979545
Manual Review,Medium Risk,23383,0.19551021794682066,14762851447.5,631349.7604028567,1296049523.68338,55426.999259435484
Decline,High Risk,32033,0.532465942288939,18150729543.0,566625.9651921456,4262036915.2656903,133051.44430011834
