low_risk_threshold,high_risk_threshold,approval_rate,manual_review_rate,decline_rate,approved_default_rate,manual_review_default_rate,declined_default_rate,approved_expected_loss,total_expected_loss
0.05,0.2,0.018958424792286554,0.28385607206152547,0.697185503146188,0.005145797598627788,0.01603849238171612,0.10912101494904265,12624182.679593088,5678645380.110263
0.05,0.25,0.018958424792286554,0.3758353251060924,0.6052062501016211,0.005145797598627788,0.01990049751243781,0.12086937832464671,12624182.679593088,5678645380.110263
0.1,0.25,0.09897078191307741,0.29582296798530155,0.6052062501016211,0.010021356990307212,0.02226008574255249,0.12086937832464671,120558941.16119248,5678645380.110263
0.1,0.3,0.09897078191307741,0.3801928361218152,0.5208363819651074,0.010021356990307212,0.02531753838258564,0.13461118221833734,120558941.16119248,5678645380.110263
0.15,0.35,0.20148610636879502,0.3501780400956051,0.4483358535355999,0.012265978050355068,0.03352370339415889,0.14836440124755204,344345837.24497986,5678645380.110263
0.2,0.4,0.302814496853812,0.31414727736858367,0.3830382257776043,0.015356529209621992,0.04238911029449821,0.16385092113082605,657973859.3868356,5678645380.110263
