model_name,roc_auc,gini,ks_statistic,threshold,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives
LightGBM,0.7900053140030018,0.5800106280060036,0.4423473066639992,0.5,0.7571988358291466,0.19968667148710534,0.667472306143001,0.3074068920736515,43256,13282,1651,3314
Logistic Regression Baseline,0.7755476135844541,0.5510952271689082,0.4200923283530186,0.5,0.7116400825975968,0.17752525252525253,0.7079556898288016,0.2838683626085201,40253,16285,1450,3515
