recommended_decision,risk_band,applicant_count,default_count,average_probability_of_default,actual_default_rate,applicant_share,default_share
Approve,Low Risk,6087,61,0.06977914454305888,0.010021356990307212,0.09897078191307741,0.012286002014098692
Manual Review,Medium Risk,23383,592,0.19551021794682066,0.02531753838258564,0.3801928361218152,0.11923464249748238
Decline,High Risk,32033,4312,0.532465942288939,0.13461118221833734,0.5208363819651074,0.8684793554884189
