threshold,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives
0.05,0.09949108173585028,0.08218837529210932,0.9987915407854985,0.15187896235949894,1160,55378,6,4959
0.1,0.1777149082158594,0.08849429767576152,0.9877139979859013,0.16243520312681142,6026,50512,61,4904
0.15,0.2772710274295563,0.09800248416851622,0.969385699899295,0.17800872845624677,12240,44298,152,4813
0.2,0.37424190689885045,0.10912101494904265,0.9423967774420947,0.19559401387843825,18338,38200,286,4679
0.25,0.4603677869372226,0.12086937832464671,0.9061430010070494,0.21328845378908196,23815,32723,466,4499
0.3,0.5386566508950783,0.13461118221833734,0.8684793554884189,0.23309368073949943,28817,27721,653,4312
0.4,0.6617563370892476,0.16385092113082605,0.7774420946626385,0.2706587666094029,36840,19698,1105,3860
0.5,0.7571988358291466,0.19968667148710534,0.667472306143001,0.3074068920736515,43256,13282,1651,3314
